id,speaker,headline,month_filmed,year_filmed,event,duration,date_published,views_as_of_06162017
629,Lewis Pugh,How I swam the North Pole,7,2009,TEDGlobal 2009,0:18:53,9/9/2009,673799
630,Rebecca Saxe,How we read each other's minds,7,2009,TEDGlobal 2009,0:16:51,9/10/2009,2819374
631,Vishal Vaid,Hypnotic South Asian improv music,2,2006,TED2006,0:13:34,9/11/2009,411258
633,Misha Glenny,How global crime networks work,7,2009,TEDGlobal 2009,0:19:30,9/14/2009,881215
634,Bjarke Ingels,3 warp-speed architecture tales,7,2009,TEDGlobal 2009,0:18:14,9/15/2009,2085293
635,John Lloyd,An inventory of the invisible,7,2009,TEDGlobal 2009,0:10:24,9/16/2009,1154365
637,Oliver Sacks,What hallucination reveals about our minds,2,2009,TED2009,0:18:48,9/17/2009,3962579
639,Imogen Heap,"""Wait It Out""",7,2009,TEDGlobal 2009,0:03:57,9/18/2009,870044
640,Jonathan Zittrain,The Web as random acts of kindness,7,2009,TEDGlobal 2009,0:19:51,9/21/2009,707356
641,Evgeny Morozov,How the Net aids dictatorships,7,2009,TEDGlobal 2009,0:11:53,9/22/2009,425824
642,William Kamkwamba,How I harnessed the wind,7,2009,TEDGlobal 2009,0:05:59,9/23/2009,2127362
643,Taryn Simon,Photographs of secret sites,7,2009,TEDGlobal 2009,0:17:32,9/24/2009,1559851
644,Jacqueline Novogratz,A third way to think about aid,6,2009,TED@State,0:17:04,9/25/2009,427351
645,Parag Khanna,Mapping the future of countries,7,2009,TEDGlobal 2009,0:18:53,9/28/2009,914523
646,Tim Brown,Designers -- think big!,7,2009,TEDGlobal 2009,0:16:50,9/29/2009,1288115
647,Karen Armstrong,Let's revive the Golden Rule,7,2009,TEDGlobal 2009,0:09:54,9/29/2009,719557
648,Garik Israelian,How spectroscopy could reveal alien life,7,2009,TEDGlobal 2009,0:15:52,10/1/2009,590640
649,Stefan Sagmeister,The power of time off,7,2009,TEDGlobal 2009,0:17:40,10/2/2009,2907777
650,Carolyn Steel,How food shapes our cities,7,2009,TEDGlobal 2009,0:15:40,10/5/2009,1002471
651,David Logan,Tribal leadership,3,2009,TEDxUSC,0:16:39,10/6/2009,1375340
652,Chimamanda Ngozi Adichie,The danger of a single story,7,2009,TEDGlobal 2009,0:18:49,10/7/2009,12369304
653,Beau Lotto,Optical illusions show how we see,7,2009,TEDGlobal 2009,0:16:30,10/8/2009,4947370
654,Sam Martin,"Claim your ""manspace""",7,2009,TEDGlobal 2009,0:04:27,10/9/2009,720040
655,Eric Sanderson,New York -- before the City,7,2009,TEDGlobal 2009,0:16:09,10/12/2009,1152388
657,David Hanson,"Robots that ""show emotion""",2,2009,TED2009,0:04:57,10/13/2009,897480
658,Rory Sutherland,Life lessons from an ad man,7,2009,TEDGlobal 2009,0:16:39,10/14/2009,2832674
659,Henry Markram,A brain in a supercomputer,7,2009,TEDGlobal 2009,0:14:50,10/15/2009,1160311
660,Julian Treasure,The 4 ways sound affects us,7,2009,TEDGlobal 2009,0:05:46,10/16/2009,1525205
661,John Gerzema,The post-crisis consumer,8,2009,TEDxKC,0:16:34,10/19/2009,753075
662,Paul Debevec,Animating a photo-real digital face,3,2009,TEDxUSC,0:06:06,10/20/2009,744770
663,Itay Talgam,Lead like the great conductors,7,2009,TEDGlobal 2009,0:20:51,10/21/2009,2834121
664,Marc Koska,1.3m reasons to re-invent the syringe,7,2009,TEDGlobal 2009,0:04:45,10/22/2009,625156
665,Ian Goldin,Navigating our global future,7,2009,TEDGlobal 2009,0:07:06,10/23/2009,1058348
666,David Deutsch,A new way to explain explanation,7,2009,TEDGlobal 2009,0:16:38,10/26/2009,909615
667,Rachel Armstrong,Architecture that repairs itself?,7,2009,TEDGlobal 2009,0:07:32,10/27/2009,1063275
669,Becky Blanton,The year I was homeless,7,2009,TEDGlobal 2009,0:07:09,10/28/2009,1066348
670,Marcus du Sautoy,"Symmetry, reality's riddle",7,2009,TEDGlobal 2009,0:18:19,10/29/2009,997885
672,Matthew White,The modern euphonium,7,2009,TEDGlobal 2009,0:02:21,10/30/2009,760182
673,Jackie Tabick,The balancing act of compassion,8,2008,TEDSalon 2009 Compassion,0:15:46,10/31/2008,171115
674,Dayananda Saraswati,The profound journey of compassion,8,2008,Chautauqua Institution,0:16:54,10/31/2008,264392
675,James Forbes,Compassion at the dinner table,8,2008,Chautauqua Institution,0:18:38,10/31/2008,199728
676,Feisal Abdul Rauf,"Lose your ego, find your compassion",8,2008,TEDSalon 2009 Compassion,0:16:47,10/31/2008,422242
677,Robert Thurman,Expanding your circle of compassion,8,2008,Chautauqua Institution,0:18:07,10/31/2008,299294
679,Robert Wright,The evolution of compassion,8,2008,TEDSalon 2009 Compassion,0:16:56,10/31/2008,227817
680,Stefana Broadbent,How the Internet enables intimacy,7,2009,TEDGlobal 2009,0:08:51,11/2/2009,1169637
681,Cameron Sinclair,The refugees of boom-and-bust,7,2009,TED2009,0:03:05,11/9/2009,405631
682,Rachel Pike,The science behind a climate headline,7,2009,TEDGlobal 2009,0:04:13,11/10/2009,464872
683,Edward Burtynsky,Photographing the landscape of oil,7,2009,TEDGlobal 2009,0:03:40,11/11/2009,476137
684,Cynthia Schneider,The surprising spread of Idol TV,7,2009,TEDGlobal 2009,0:05:37,11/13/2009,432443
685,Pranav Mistry,The thrilling potential of SixthSense technology,11,2009,TEDIndia 2009,0:13:50,11/16/2009,15833245
686,Devdutt Pattanaik,East vs. West -- the myths that mystify,11,2009,TEDIndia 2009,0:18:26,11/19/2009,1654638
688,Mallika Sarabhai,Dance to change the world,11,2009,TEDIndia 2009,0:16:52,11/26/2009,475812
689,Shashi Tharoor,Why nations should pursue soft power,11,2009,TEDIndia 2009,0:17:53,11/30/2009,1398408
691,Mathieu Lehanneur,Science-inspired design,7,2009,TEDGlobal 2009,0:18:04,11/17/2009,426637
692,Fields Wicker-Miurin,Learning from leadership's missing manual,9,2009,TEDSalon London 2009,0:16:35,11/18/2009,921958
694,Tom Wujec,Learn to use the 13th-century astrolabe,7,2009,TEDGlobal 2009,0:09:25,11/20/2009,546702
695,Hans Rosling,Asia's rise -- how and when,11,2009,TEDIndia 2009,0:15:50,11/23/2009,1717975
696,Rob Hopkins,Transition to a world without oil,7,2009,TEDGlobal 2009,0:16:40,11/24/2009,800668
698,Magnus Larsson,Turning dunes into architecture,7,2009,TEDGlobal 2009,0:11:43,11/25/2009,660817
700,Gordon Brown,Global ethic vs. national interest,7,2009,TEDGlobal 2009,0:17:10,12/1/2009,495899
701,Andrea Ghez,The hunt for a supermassive black hole,7,2009,TEDGlobal 2009,0:16:26,12/2/2009,755328
702,Anupam Mishra,The ancient ingenuity of water harvesting,11,2009,TEDIndia 2009,0:17:14,12/3/2009,821608
704,Sunitha Krishnan,The fight against sex slavery,11,2009,TEDIndia 2009,0:12:42,12/7/2009,2519747
705,Scott Kim,The art of puzzles,12,2008,EG 2008,0:11:49,12/4/2009,513368
706,Rory Bremner,A one-man world summit,7,2009,TEDGlobal 2009,0:14:41,12/7/2009,1101824
708,Marc Pachter,The art of the interview,12,2008,EG 2008,0:20:54,12/9/2009,687513
709,Thulasiraj Ravilla,How low-cost eye care can be world-class,11,2009,TEDIndia 2009,0:17:27,12/9/2009,293225
710,Shereen El Feki,Pop culture in the Arab world,7,2009,TEDGlobal 2009,0:05:05,12/11/2009,477008
712,Loretta Napoleoni,The intricate economics of terrorism,7,2009,TEDGlobal 2009,0:15:44,12/14/2009,629630
713,Ryan Lobo,Photographing the hidden story,11,2009,TEDIndia 2009,0:11:20,12/15/2009,538396
714,Alexis Ohanian,How to make a splash in social media,11,2009,TEDIndia 2009,0:04:26,12/15/2009,2032519
715,Charles Anderson,Dragonflies that fly across oceans,11,2009,TEDIndia 2009,0:16:38,12/17/2009,548872
716,James Geary,Metaphorically speaking,7,2009,TEDGlobal 2009,0:09:30,12/17/2009,803374
717,Shaffi Mather,A new way to fight corruption,11,2009,TEDIndia 2009,0:10:41,12/21/2009,492755
718,Steven Cowley,Fusion is energy's future,7,2009,TEDGlobal 2009,0:09:54,12/22/2009,701056
719,Asher Hasan,My message of peace from Pakistan,11,2009,TEDIndia 2009,0:04:28,12/23/2009,411668
720,Steve Jobs,How to live before you die,6,2005,Stanford University,0:15:04,10/6/2011,8661921
721,Michael Sandel,What's the right thing to do?,9,2005,Justice with Michael Sandel,0:54:56,12/23/2009,386467
722,Cat Laine,Engineering a better life for all,9,2009,Business Innovation Factory,0:14:49,12/23/2009,153364
723,Bertrand Piccard,My solar-powered adventure,7,2009,TEDGlobal 2009,0:17:46,1/1/2010,770938
724,Vilayanur Ramachandran,The neurons that shaped civilization,11,2009,TEDIndia 2009,0:07:43,1/4/2010,1913821
726,Nick Veasey,Exposing the invisible,7,2009,TEDGlobal 2009,0:13:18,1/5/2010,1774756
727,Dan Buettner,How to live to be 100+,9,2009,TEDxTC,0:19:39,1/6/2010,3070053
728,Romulus Whitaker,The real danger lurking in the water,11,2009,TEDIndia 2009,0:17:18,1/7/2010,393020
729,Herbie Hancock,An all-star set,2,2009,TED2009,0:25:05,1/8/2010,641224
730,Randy Pausch,Really achieving your childhood dreams,9,2007,Carnegie Mellon University,1:16:27,1/8/2010,557832
732,Robert Sapolsky,The uniqueness of humans,6,2009,Stanford University,0:37:26,1/8/2010,565258
733,Matt Weinstein,What Bernie Madoff couldn't steal from me,3,2009,AORN Congress,0:08:30,1/9/2010,144948
734,Kartick Satyanarayan,"How we rescued the ""dancing"" bears""",11,2009,TEDIndia 2009,0:04:02,1/11/2010,413101
735,Kiran Sethi,"Kids, take charge",11,2009,TEDIndia 2009,0:09:32,1/12/2010,1396335
736,Lalitesh Katragadda,"Making maps to fight disaster, build economies",11,2009,TEDIndia 2009,0:02:54,1/13/2010,356650
737,Edwidge Danticat,Stories of Haiti,10,2004,University of California,0:59:33,1/14/2010,50040
738,Charles Fleischer,All things are Moleeds,2,2005,TED2005,0:18:03,1/15/2010,1048012
741,David Blaine,How I held my breath for 17 minutes,10,2009,TEDMED 2009,0:20:19,1/19/2010,14806661
743,Ravin Agrawal,10 young Indian artists to watch,11,2009,TEDIndia 2009,0:06:34,1/20/2010,433896
744,Anthony Atala,Growing new organs,10,2009,TEDMED 2009,0:17:52,1/21/2010,1685522
745,Sivamani,"Rhythm is everything, everywhere",11,2009,TEDIndia 2009,0:16:40,1/22/2010,552102
746,Richard Dawkins,Growing up in the universe,12,1991,Royal Institution,0:57:55,1/23/2010,317752
747,Taylor Mali,What teachers make,11,2005,Bowery Poetry Club,0:03:02,1/23/2010,664106
748,Bill Davenhall,Your health depends on where you live,10,2009,TEDMED 2009,0:09:25,1/25/2010,747336
750,Joshua Prince-Ramus,Building a theater that remakes itself,10,2009,TEDxSMU,0:18:42,1/26/2010,692715
751,Eve Ensler,Embrace your inner girl,11,2009,TEDIndia 2009,0:19:54,1/27/2010,1203125
752,Jane Chen,A warm embrace that saves lives,11,2009,TEDIndia 2009,0:04:46,1/28/2010,686623
755,Derek Sivers,"Weird, or just different?",11,2009,TEDIndia 2009,0:02:42,1/29/2010,2755445
756,JK Rowling,The fringe benefits of failure,6,2008,Harvard University,0:20:58,1/30/2010,1387873
757,Sendhil Mullainathan,Solving social problems with a nudge,11,2009,TEDIndia 2009,0:18:01,2/1/2010,490117
759,Jamie Heywood,The big idea my brother inspired,10,2009,TEDMED 2009,0:16:54,2/2/2010,520009
760,George Whitesides,A lab the size of a postage stamp,7,2009,TEDxBoston 2009,0:16:16,2/3/2010,494023
761,David Agus,A new strategy in the war on cancer,10,2009,TEDMED 2009,0:23:44,2/4/2010,680120
762,"Tom Shannon, John Hockenberry",The painter and the pendulum,3,2009,TED in the Field,0:13:21,2/5/2010,430722
763,Peter Eigen,How to expose the corrupt,11,2009,TEDxBerlin,0:17:01,2/8/2010,731270
765,Jamie Oliver,Teach every child about food,2,2010,TED2010,0:21:53,2/11/2010,7492892
766,Blaise Agüera y Arcas,Augmented-reality maps,2,2010,TED2010,0:07:45,2/13/2010,1699998
767,Bill Gates,Innovating to zero!,2,2010,TED2010,0:27:49,2/18/2010,4211415
768,David Cameron,The next age of government,2,2010,TED2010,0:13:59,2/15/2010,650196
769,Aimee Mullins,The opportunity of adversity,10,2009,TEDMED 2009,0:21:58,2/17/2010,2021647
770,Kevin Kelly,Technology's epic story,11,2009,TEDxAmsterdam,0:16:32,2/19/2010,531042
771,Philip K. Howard,Four ways to fix a broken legal system,2,2010,TED2010,0:18:21,2/21/2010,602593
772,Eric Topol,The wireless future of medicine,10,2009,TEDMED 2009,0:16:58,2/23/2010,703817
773,Temple Grandin,The world needs all kinds of minds,2,2010,TED2010,0:19:43,2/24/2010,4280005
775,Bobby McFerrin,Watch me play ... the audience!,6,2009,World Science Festival,0:03:04,2/27/2010,3291875
776,Pawan Sinha,How brains learn to see,11,2009,TEDIndia 2009,0:18:23,2/25/2010,832468
777,Raghava KK,My 5 lives as an artist,2,2010,TED2010,0:17:55,2/26/2010,658301
779,Daniel Kahneman,The riddle of experience vs. memory,2,2010,TED2010,0:20:06,3/1/2010,3686917
780,Harsha Bhogle,"The rise of cricket, the rise of India",11,2009,TEDIndia 2009,0:16:59,3/2/2010,555676
783,Gary Flake,Is Pivot a turning point for web exploration?,2,2010,TED2010,0:06:25,3/3/2010,647948
784,Richard Feynman,Physics is fun to imagine,7,1983,BBC TV,1:05:55,3/3/2010,509387
785,James Cameron,Before Avatar ... a curious boy,2,2010,TED2010,0:17:08,3/4/2010,1864755
786,The LXD,"In the Internet age, dance evolves ...",2,2010,TED2010,0:16:48,3/5/2010,2770100
787,Srikumar Rao,Plug into your hard-wired happiness,3,2009,Arbejdsglaede Live,0:18:12,3/5/2010,930665
788,Tim Berners-Lee,The year open data went worldwide,2,2010,TED2010,0:05:33,3/8/2010,675313
789,Gary Lauder's new traffic sign,Take Turns,2,2010,TED2010,0:04:26,3/9/2010,570974
790,Dan Barber,How I fell in love with a fish,2,2010,TED2010,0:19:02,3/10/2010,1950276
791,Ken Kamler,Medical miracle on Everest,10,2009,TEDMED 2009,0:20:49,3/18/2010,701124
792,Eric Mead,The magic of the placebo,10,2009,TEDMED 2009,0:09:05,3/12/2010,1009157
795,Gary Vaynerchuk,Do what you love (no excuses!),9,2008,Web 2.0 Expo 2008,0:15:27,3/12/2010,746104
796,Mark Roth,Suspended animation is within our grasp,2,2010,TED2010,0:18:13,3/15/2010,706074
797,Eric Dishman,Take health care off the mainframe,10,2009,TEDMED 2009,0:16:41,3/16/2010,381457
798,Douglas Adams,"Parrots, the universe and everything",5,2001,University of California,1:27:36,3/16/2010,471070
799,Jane McGonigal,Gaming can make a better world,2,2010,TED2010,0:20:03,3/17/2010,4511886
800,Shekhar Kapur,We are the stories we tell ourselves,11,2009,TEDIndia 2009,0:21:14,3/19/2010,725511
801,Sam Harris,Science can answer moral questions,2,2010,TED2010,0:23:06,3/22/2010,3357927
802,Juliana Machado Ferreira,The fight to end rare-animal trafficking in Brazil,2,2010,TED2010,0:05:34,3/23/2010,316015
803,Alan Siegel,Let's simplify legal jargon!,2,2010,TED2010,0:04:26,3/24/2010,857211
804,Joel Levine,Why we need to go back to Mars,11,2009,TEDxNASA,0:16:14,3/25/2010,615765
805,Robert Gupta,"Music is medicine, music is sanity",2,2010,TED2010,0:09:26,3/26/2010,1147323
806,Patsy Rodenburg,Why I do theater,10,2008,Michael Howard Studios,0:06:47,3/26/2010,174998
807,Kevin Bales,How to combat modern slavery,2,2010,TED2010,0:18:01,3/29/2010,833382
809,Shukla Bose,Teaching one child at a time,11,2009,TEDIndia 2009,0:16:23,3/30/2010,925657
811,Kirk Citron,"And now, the real news",2,2010,TED2010,0:03:21,4/1/2010,677146
814,Derek Sivers,How to start a movement,2,2010,TED2010,0:03:09,4/1/2010,6202123
815,Adora Svitak,What adults can learn from kids,2,2010,TED2010,0:08:12,4/1/2010,4696809
816,Jesse Schell,When games invade real life,2,2010,DICE Summit 2010,0:28:18,4/3/2010,447451
818,Elizabeth Pisani,"Sex, drugs and HIV -- let's get rational",2,2010,TED2010,0:19:14,4/5/2010,1202852
819,Dean Kamen,The emotion behind invention,10,2009,TEDMED 2009,0:19:32,4/6/2010,519147
820,Dennis Hong,My seven species of robot -- and how we created them,9,2009,TEDxNASA,0:15:55,4/7/2010,1895193
821,Jonathan Drori,Every pollen grain has a story,2,2010,TED2010,0:07:12,4/8/2010,400200
823,Natalie Merchant,Singing old poems to life,2,2010,TED2010,0:29:18,4/9/2010,848622
824,Michael Specter,The danger of science denial,2,2010,TED2010,0:19:01,4/12/2010,1804972
826,Jonathan Klein,Photos that changed the world,2,2010,TED2010,0:06:02,4/13/2010,1202082
828,Catherine Mohr,The tradeoffs of building green,2,2010,TED2010,0:06:13,4/14/2010,758833
830,Mike deGruy,Hooked by an octopus,4,2010,Mission Blue Voyage,0:18:12,2/4/2012,918317
831,Thelma Golden,How art gives shape to cultural change,2,2009,TED2009,0:12:28,4/16/2010,516384
832,Eric Whitacre,A choir as big as the Internet,3,2010,Eric Whitacre's Virtual Choir,0:04:15,4/16/2010,398553
833,Edith Widder,Glowing life in an underwater world,4,2010,Mission Blue Voyage,0:17:19,4/19/2010,575222
835,James Randi,"Homeopathy, quackery and fraud",3,2007,TED2007,0:17:19,4/19/2010,2463260
836,Frederick Balagadde,Bio-lab on a microchip,2,2010,TED2010,0:06:11,4/21/2010,293259
837,Tom Wujec,"Build a tower, build a team",2,2010,TED2010,0:06:51,4/22/2010,3681897
838,Omar Ahmad,Political change with pen and paper,2,2010,TED2010,0:06:07,4/23/2010,533554
840,Tim Birkhead,The early birdwatchers,9,2009,The Do Lectures,0:28:10,9/26/2010,111775
842,Kavita Ramdas,"Radical women, embracing tradition",11,2009,TEDIndia 2009,0:23:38,4/26/2010,468452
843,Stephen Wolfram,Computing a theory of all knowledge,2,2010,TED2010,0:19:58,4/27/2010,1528364
844,Roz Savage,Why I'm rowing across the Pacific,4,2010,Mission Blue Voyage,0:18:35,4/28/2010,632409
845,George Whitesides,Toward a science of simplicity,2,2010,TED2010,0:18:35,4/28/2010,614262
846,Sebastian Wernicke,"Lies, damned lies and statistics (about TEDTalks)",2,2010,TED2010,0:05:59,4/30/2010,2183491
847,Esther Duflo,Social experiments to fight poverty,2,2010,TED2010,0:16:47,5/3/2010,857064
848,Simon Sinek,How great leaders inspire action,9,2009,TEDxPuget Sound,0:18:04,5/4/2010,32664300
849,Thomas Dolby,"""Love Is a Loaded Pistol""",2,2010,TED2010,0:04:57,5/7/2010,570737
850,Jeremy Jackson,How we wrecked the ocean,4,2010,Mission Blue Voyage,0:18:19,5/5/2010,587401
851,Anil Gupta,India's hidden hotbeds of invention,11,2009,TEDIndia 2009,0:22:55,5/6/2010,640960
852,Nicholas Christakis,The hidden influence of social networks,2,2010,TED2010,0:20:59,5/10/2010,1298781
853,Nathan Myhrvold,Could this laser zap malaria?,2,2010,TED2010,0:16:58,5/11/2010,844980
854,Enric Sala,Glimpses of a pristine ocean,4,2010,Mission Blue Voyage,0:19:55,5/12/2010,314179
855,Dan Meyer,Math class needs a makeover,3,2010,TEDxNYED,0:11:39,5/13/2010,2428974
856,Julia Sweeney,"It's time for ""The Talk""",2,2010,TED2010,0:05:16,5/14/2010,3323391
857,Viktor Frankl,Why believe in others,5,1972,Toronto Youth Corps,0:04:22,5/14/2010,1011089
859,William Li,Can we eat to starve cancer?,2,2010,TED2010,0:20:02,5/17/2010,4078454
860,Graham Hill,Why I'm a weekday vegetarian,2,2010,TED2010,0:05:45,5/18/2010,2059515
861,Dee Boersma,Pay attention to penguins,4,2010,Mission Blue Voyage,0:15:09,5/19/2010,353603
862,Richard Sears,Planning for the end of oil,2,2010,TED2010,0:09:48,5/20/2010,599545
863,Craig Venter,"Watch me unveil ""synthetic life""",3,2010,TED in the Field,0:18:17,5/21/2010,1077990
865,Ken Robinson,Bring on the learning revolution!,2,2010,TED2010,0:16:48,5/24/2010,7061657
866,Johanna Blakley,Lessons from fashion's free culture,4,2010,TEDxUSC,0:15:36,5/25/2010,1020746
868,Sharmeen Obaid-Chinoy,Inside a school for suicide bombers,2,2010,TED2010,0:08:09,5/26/2010,1052195
869,Seth Berkley,HIV and flu -- the vaccine strategy,2,2010,TED2010,0:21:05,5/27/2010,533237
870,Sophie Hunger,Songs of secrets and city lights,7,2009,TEDGlobal 2009,0:23:04,5/28/2010,510343
871,Lawrence Lessig,Re-examining the remix,4,2010,TEDxNYED,0:18:45,5/31/2010,387867
872,John Underkoffler,Pointing to the future of UI,2,2010,TED2010,0:15:22,6/1/2010,1504686
873,Brian Skerry,The ocean's glory -- and horror,4,2010,Mission Blue Voyage,0:16:13,6/1/2010,1410734
874,"Christopher ""moot"" Poole""",The case for anonymity online,2,2010,TED2010,0:13:10,6/2/2010,1440361
876,Brian Cox,Why we need the explorers,4,2010,TEDSalon London 2010,0:16:29,6/3/2010,1595139
877,Adam Sadowsky,How to engineer a viral music video,4,2010,TEDxUSC,0:14:28,6/4/2010,1050386
878,Michael Sandel,The lost art of democratic debate,2,2010,TED2010,0:19:42,6/7/2010,1135343
879,John Kasaona,How poachers became caretakers,2,2010,TED2010,0:15:46,6/8/2010,321374
880,Rory Sutherland,Sweat the small stuff,4,2010,TEDSalon London 2010,0:12:37,6/9/2010,1039170
881,Stewart Brand + Mark Z. Jacobson,Debate: Does the world need nuclear energy?,2,2010,TED2010,0:22:59,6/10/2010,1277134
883,David Byrne,How architecture helped music evolve,2,2010,TED2010,0:16:00,6/11/2010,1211866
884,Michael Shermer,The pattern behind self-deception,2,2010,TED2010,0:19:01,6/14/2010,2389262
885,Margaret Gould Stewart,How YouTube thinks about copyright,2,2010,TED2010,0:05:45,6/15/2010,766446
886,Peter Tyack,The intriguing sound of marine mammals,4,2010,Mission Blue Voyage,0:21:20,6/16/2010,411715
887,Cameron Herold,Let's raise kids to be entrepreneurs,3,2010,TEDxEdmonton,0:21:24,6/17/2010,1551026
888,Ananda Shankar Jayant,Fighting cancer with dance,11,2009,TEDIndia 2009,0:16:07,6/18/2010,581190
889,Chip Conley,Measuring what makes life worthwhile,2,2010,TED2010,0:17:39,6/21/2010,2739646
891,Marian Bantjes,Intricate beauty by design,2,2010,TED2010,0:16:28,6/22/2010,624468
892,Charles Leadbeater,Education innovation in the slums,4,2010,TEDSalon London 2010,0:18:58,6/23/2010,760118
893,Aditi Shankardass,A second opinion on developmental disorders,11,2009,TEDIndia 2009,0:09:01,6/24/2010,950594
894,Hillel Cooperman,Legos for grownups,2,2010,TED2010,0:05:50,6/25/2010,1005556
896,Clay Shirky,How cognitive surplus will change the world,6,2010,TED@Cannes,0:13:07,6/28/2010,949084
898,Ellen Dunham-Jones,Retrofitting suburbia,1,2010,TEDxAtlanta,0:19:23,6/29/2010,654287
899,Stephen Palumbi,Hidden toxins in the fish we eat,4,2010,Mission Blue Voyage,0:15:42,6/30/2010,357485
900,Carter Emmart,A 3D atlas of the universe,2,2010,TED2010,0:06:57,7/1/2010,1642327
901,Mitchell Joachim,"Don't build your home, grow it!",2,2010,TED2010,0:02:56,7/2/2010,1299575
909,Benoit Mandelbrot,Fractals and the art of roughness,2,2010,TED2010,0:17:09,7/6/2010,1195831
910,Ellen Gustafson,Obesity + hunger = 1 global food issue,3,2010,TEDxEast,0:11:15,7/7/2010,656923
911,Nalini Nadkarni,Life science in prison,2,2010,TED2010,0:05:07,7/8/2010,418546
912,Hans Rosling,"Global population growth, box by box",6,2010,TED@Cannes,0:10:04,7/9/2010,2864937
914,Carl Safina,The oil spill's unseen villains -- and victims,6,2010,TEDxOilSpill,0:19:55,7/12/2010,574689
915,Matt Ridley,When ideas have sex,7,2010,TEDGlobal 2010,0:16:26,7/14/2010,2132692
916,Ethan Zuckerman,Listening to global voices,7,2010,TEDGlobal 2010,0:19:45,7/15/2010,681686
917,Elif Shafak,The politics of fiction,7,2010,TEDGlobal 2010,0:19:45,7/16/2010,1724112
918,Julian Assange,Why the world needs WikiLeaks,7,2010,TEDGlobal 2010,0:19:33,7/19/2010,2266296
919,Naif Al-Mutawa,Superheroes inspired by Islam,7,2010,TEDGlobal 2010,0:18:22,7/20/2010,811805
920,Dimitar Sasselov,How we found hundreds of potential Earth-like planets,7,2010,TEDGlobal 2010,0:18:30,7/21/2010,1117311
921,Tan Le,A headset that reads your brainwaves,7,2010,TEDGlobal 2010,0:10:36,7/21/2010,2450186
922,Kevin Stone,The bio-future of joint replacement,2,2010,TED2010,0:06:51,7/22/2010,481430
923,Jeff Bezos,What matters more than your talents,3,2010,Princeton University,0:18:44,7/27/2010,648379
924,Sheena Iyengar,The art of choosing,7,2010,TEDGlobal 2010,0:24:08,7/26/2010,3036905
925,Susan Shaw,The oil spill's toxic trade-off,6,2010,TEDxOilSpill,0:16:42,7/27/2010,218993
926,John Delaney,Wiring an interactive ocean,4,2010,Mission Blue Voyage,0:20:50,7/28/2010,330515
927,Laurie Santos,A monkey economy as irrational as ours,7,2010,TEDGlobal 2010,0:19:45,7/29/2010,1221337
928,Lewis Pugh,My mind-shifting Everest swim,7,2010,TEDGlobal 2010,0:09:45,7/30/2010,1017420
929,Jason Clay,How big brands can help save biodiversity,7,2010,TEDGlobal 2010,0:19:29,8/16/2010,427783
930,Sheryl WuDunn,Our century's greatest injustice,7,2010,TEDGlobal 2010,0:18:22,8/17/2010,1041388
931,Diane J. Savino,The case for same-sex marriage,12,2009,New York State Senate,0:07:33,8/17/2010,291095
932,Peter Molyneux,"Meet Milo, the virtual boy",7,2010,TEDGlobal 2010,0:10:55,8/18/2010,731823
934,Jamil Abu-Wardeh,The Axis of Evil Middle East Comedy Tour,7,2010,TEDGlobal 2010,0:08:59,8/19/2010,789288
935,Maz Jobrani,Did you hear the one about the Iranian-American?,7,2010,TEDGlobal 2010,0:09:14,8/19/2010,4501380
936,Seth Priebatsch,The game layer on top of the world,7,2010,TEDxBoston 2010,0:12:02,8/20/2010,811867
937,David McCandless,The beauty of data visualization,7,2010,TEDGlobal 2010,0:17:56,8/23/2010,2539640
938,Lee Hotz,Inside an Antarctic time machine,7,2010,TEDGlobal 2010,0:09:45,8/24/2010,588847
939,Jim Toomey,Learning from Sherman the shark,4,2010,Mission Blue Voyage,0:14:15,8/25/2010,476168
940,Lisa Margonelli,The political chemistry of oil,6,2010,TEDxOilSpill,0:17:14,8/26/2010,434654
941,Dan Cobley,What physics taught me about marketing,7,2010,TEDGlobal 2010,0:07:38,8/27/2010,1351289
943,Jeremy Rifkin,The empathic civilization,3,2010,RSA Animate,0:10:39,8/24/2010,540148
944,Nic Marks,The Happy Planet Index,7,2010,TEDGlobal 2010,0:16:49,8/30/2010,1541590
945,Johan Rockstrom,Let the environment guide our development,7,2010,TEDGlobal 2010,0:18:10,8/31/2010,896627
946,His Holiness the Karmapa,The technology of the heart,11,2009,TEDIndia 2009,0:25:23,9/1/2010,788313
947,Derek Sivers,Keep your goals to yourself,7,2010,TEDGlobal 2010,0:03:15,9/2/2010,4457953
948,Rachel Sussman,The world's oldest living things,7,2010,TEDGlobal 2010,0:14:08,9/3/2010,1408148
949,Sugata Mitra,The child-driven education,7,2010,TEDGlobal 2010,0:17:13,9/7/2010,2488846
950,Alwar Balasubramaniam,Art of substance and absence,11,2009,TEDIndia 2009,0:16:51,9/8/2010,424005
951,Carne Ross,An independent diplomat,9,2009,Business Innovation Factory,0:20:38,9/9/2010,338145
952,Ben Cameron,Why the live arts matter,2,2010,TEDxYYC,0:12:44,9/10/2010,492407
953,Seth Godin,This is broken,9,2006,Gel Conference,0:20:14,9/10/2010,949636
954,Rob Dunbar,Discovering ancient climates in oceans and ice,4,2010,Mission Blue Voyage,0:18:14,9/13/2010,542860
955,Chris Anderson,How web video powers global innovation,7,2010,TEDGlobal 2010,0:18:53,9/14/2010,1271554
