id,speaker,headline,month_filmed,year_filmed,event,duration,date_published,views_as_of_06162017
383,Rives,A story of mixed emoticons,2,2008,TED2008,0:03:17,10/28/2008,1569340
385,Zach Kaplan + Keith Schacht,Toys and materials from the future,2,2005,TED2005,0:15:46,10/30/2008,409320
386,Newton Aduaka,The story of Ezra,6,2007,TEDGlobal 2007,0:18:44,10/31/2008,322895
388,Graham Hawkes,A flight through the ocean,2,2005,TED2005,0:12:11,11/3/2008,373606
390,James Surowiecki,The power and the danger of online crowds,2,2005,TED2005,0:16:59,11/4/2008,421501
391,John Francis,Walk the earth ... my 17-year vow of silence,2,2008,TED2008,0:19:24,11/5/2008,693373
392,Tim Brown,Tales of creativity and play,3,2008,Serious Play 2008,0:27:58,11/6/2008,1859739
393,Luca Turin,The science of scent,2,2005,TED2005,0:15:53,11/7/2008,446598
394,Lee Smolin,Science and democracy,2,2003,TED2003,0:12:25,11/10/2008,253557
395,Samantha Power,A complicated hero in the war on dictatorship,2,2008,TED2008,0:23:09,11/11/2008,448528
396,Isaac Mizrahi,Fashion and creativity,2,2008,TED2008,0:14:16,11/18/2008,878475
399,Charles Elachi,The story behind the Mars Rovers,3,2008,Serious Play 2008,0:28:17,11/12/2008,553534
400,Ursus Wehrli,Tidying up art,2,2006,TED2006,0:15:57,11/13/2008,1298779
402,Stewart Brand,The Long Now,2,2004,TED2004,0:23:23,11/17/2008,240414
403,Franco Sacchi,"A tour of Nollywood, Nigeria's booming film industry",6,2007,TEDGlobal 2007,0:17:34,11/19/2008,220656
404,George Smoot,The design of the universe,3,2008,Serious Play 2008,0:19:00,11/20/2008,1613553
405,Bill Joy,"What I'm worried about, what I'm excited about",2,2006,TED2006,0:19:02,11/24/2008,482837
406,Dan Barber,A foie gras parable,7,2008,Taste3 2008,0:20:24,11/24/2008,1276315
407,Andy Hobsbawm,Do the green thing,2,2008,TED2008,0:03:22,11/26/2008,425603
408,Gregory Petsko,The coming neurological epidemic,2,2008,TED2008,0:03:47,11/30/2008,897016
409,Richard Preston,The mysterious lives of giant trees,2,2008,TED2008,0:19:31,12/2/2008,631840
410,Philip Rosedale,Life in Second Life,3,2008,Serious Play 2008,0:28:31,12/3/2008,546553
411,Larry Burns,The future of cars,2,2005,TED2005,0:09:12,12/4/2008,558790
412,Nick Sears,Demo: The Orb,3,2007,TED2007,0:03:58,12/5/2008,455562
413,David Holt,The joyful tradition of mountain music,2,2004,TED2004,0:25:17,12/7/2008,505334
414,Eva Zeisel,The playful search for beauty,2,2001,TED2001,0:18:09,12/9/2008,432905
416,Dennis vanEngelsdorp,A plea for bees,7,2008,Taste3 2008,0:16:28,12/10/2008,578020
418,Jay Walker,My library of human imagination,2,2008,TED2008,0:07:09,12/14/2008,467953
419,Benjamin Wallace,The price of happiness,7,2008,Taste3 2008,0:14:40,12/17/2008,1812860
420,Dan Gilbert,Why we make bad decisions,7,2005,TEDGlobal 2005,0:33:38,12/16/2008,3607068
421,Penelope Boston,There might just be life on Mars,2,2006,TED2006,0:18:29,12/17/2008,647424
422,Steven Strogatz,The science of sync,2,2004,TED2004,0:21:58,12/22/2008,634652
423,Nicholas Negroponte,Taking OLPC to Colombia,12,2008,TED in the Field,0:06:48,12/22/2008,359538
424,Jennifer 8. Lee,The hunt for General Tso,7,2008,Taste3 2008,0:16:38,12/24/2008,1274353
426,Kary Mullis,Play! Experiment! Discover!,2,2002,TED2002,0:29:32,1/5/2009,528269
427,John Maeda,My journey in design,3,2008,Serious Play 2008,0:17:06,1/6/2009,237990
428,Paul Sereno,Digging up dinosaurs,2,2005,TED2005,0:21:46,1/7/2009,755430
429,Paul Moller,My dream of a flying car,2,2004,TED2004,0:15:39,1/8/2009,414278
430,Greg Lynn,Organic algorithms in architecture,2,2005,TED2005,0:18:54,1/9/2009,340618
431,Rob Forbes,Ways of seeing,2,2006,TED2006,0:15:37,1/12/2009,358719
432,Scott McCloud,The visual magic of comics,2,2005,TED2005,0:17:08,1/13/2009,1008198
433,Peter Reinhart,The art and craft of bread,7,2008,Taste3 2008,0:15:34,1/14/2009,805722
434,Joseph Pine,What consumers want,2,2004,TED2004,0:14:19,1/15/2009,903556
435,Paula Scher,"Great design is serious, not solemn",3,2008,Serious Play 2008,0:21:56,1/16/2009,494461
436,David Carson,Design and discovery,2,2003,TED2003,0:22:39,1/19/2009,759840
